ligand,receptor,lr_bias,scaled_bias,lr_bias_clean
A2M,LRP1,2.99535174,1.9983225197278700,2.99535174
A2M,TNFRSF14,2.99535174,1.9983225197278700,2.99535174
A2M,TYRO3,2.99535174,1.9983225197278700,2.99535174
ADM,CALCR,0.205157848,0.2692221187479260,0.205157848
ADM,CALCRL,0.205157848,0.2692221187479260,0.205157848
ADM,MRGPRX2,0.205157848,0.2692221187479260,0.205157848
ADM,GPR182,0.205157848,0.2692221187479260,0.205157848
ADM,RAMP2,0.205157848,0.2692221187479260,0.205157848
ADM,ADCYAP1R1,0.205157848,0.2692221187479260,0.205157848
ADM,VIPR2,0.205157848,0.2692221187479260,0.205157848
ADM,MC3R,0.205157848,0.2692221187479260,0.205157848
ADM,GLP1R,0.205157848,0.2692221187479260,0.205157848
ADM,GCGR,0.205157848,0.2692221187479260,0.205157848
ADM,SCTR,0.205157848,0.2692221187479260,0.205157848
ADM,GIPR,0.205157848,0.2692221187479260,0.205157848
ADM,PTH2R,0.205157848,0.2692221187479260,0.205157848
ADM,HTR6,0.205157848,0.2692221187479260,0.205157848
ADM,MC2R,0.205157848,0.2692221187479260,0.205157848
ADM,MC1R,0.205157848,0.2692221187479260,0.205157848
ADM,GHRHR,0.205157848,0.2692221187479260,0.205157848
ADM,PTH1R,0.205157848,0.2692221187479260,0.205157848
ADM,CRHR2,0.205157848,0.2692221187479260,0.205157848
ADM,HTR4,0.205157848,0.2692221187479260,0.205157848
ADM,NPSR1,0.205157848,0.2692221187479260,0.205157848
ADM,RXFP2,0.205157848,0.2692221187479260,0.205157848
ADM,RXFP1,0.205157848,0.2692221187479260,0.205157848
ADM,RAMP1,0.205157848,0.2692221187479260,0.205157848
ADM,GLP2R,0.205157848,0.2692221187479260,0.205157848
ADM,TSHR,0.205157848,0.2692221187479260,0.205157848
ADM,LHCGR,0.205157848,0.2692221187479260,0.205157848
ADM,FSHR,0.205157848,0.2692221187479260,0.205157848
ADM,HRH2,0.205157848,0.2692221187479260,0.205157848
ADM,AVPR2,0.205157848,0.2692221187479260,0.205157848
ADM,VIPR1,0.205157848,0.2692221187479260,0.205157848
ADM,MC4R,0.205157848,0.2692221187479260,0.205157848
ADM,MC5R,0.205157848,0.2692221187479260,0.205157848
ADM,HTR7,0.205157848,0.2692221187479260,0.205157848
ADM,CRHR1,0.205157848,0.2692221187479260,0.205157848
ADM,PTGER4,0.205157848,0.2692221187479260,0.205157848
ADM,PTGER2,0.205157848,0.2692221187479260,0.205157848
ADM,PTGIR,0.205157848,0.2692221187479260,0.205157848
ADM,GPR15,0.205157848,0.2692221187479260,0.205157848
ADM,PTGDR,0.205157848,0.2692221187479260,0.205157848
ADM,GPR176,0.205157848,0.2692221187479260,0.205157848
ADM,GPR150,0.205157848,0.2692221187479260,0.205157848
ADM,GPBAR1,0.205157848,0.2692221187479260,0.205157848
ADM,TAAR1,0.205157848,0.2692221187479260,0.205157848
ADM,GPR20,0.205157848,0.2692221187479260,0.205157848
ADM,GPR84,0.205157848,0.2692221187479260,0.205157848
ADM,GPR27,0.205157848,0.2692221187479260,0.205157848
ADM,GPR83,0.205157848,0.2692221187479260,0.205157848
ADM,GPR45,0.205157848,0.2692221187479260,0.205157848
ADM,GPR25,0.205157848,0.2692221187479260,0.205157848
ADM,RAMP3,0.205157848,0.2692221187479260,0.205157848
ADM,ADRB2,0.205157848,0.2692221187479260,0.205157848
ADM,ADRB1,0.205157848,0.2692221187479260,0.205157848
ADM,ADRB3,0.205157848,0.2692221187479260,0.205157848
ADM,DRD1,0.205157848,0.2692221187479260,0.205157848
ADM,DRD5,0.205157848,0.2692221187479260,0.205157848
ADM,ADORA2A,0.205157848,0.2692221187479260,0.205157848
ADM,ADORA2B,0.205157848,0.2692221187479260,0.205157848
AGRN,DAG1,0.236291278,0.3060186913154000,0.236291278
AGRN,MUSK,0.236291278,0.3060186913154000,0.236291278
AGRN,ITGAV,0.236291278,0.3060186913154000,0.236291278
AGRN,LRP2,0.236291278,0.3060186913154000,0.236291278
AGRN,LRP1,0.236291278,0.3060186913154000,0.236291278
AGRN,PTPRS,0.236291278,0.3060186913154000,0.236291278
AGRN,LRP8,0.236291278,0.3060186913154000,0.236291278
AGRN,ITGB1,0.236291278,0.3060186913154000,0.236291278
AGRN,NCAM1,0.236291278,0.3060186913154000,0.236291278
AGT,AGTR1,0.97458712,0.9815510217963440,0.97458712
AGT,MAS1,0.97458712,0.9815510217963440,0.97458712
AGT,AGTR2,0.97458712,0.9815510217963440,0.97458712
AGT,LRP2,0.97458712,0.9815510217963440,0.97458712
AGT,HTR1A,0.97458712,0.9815510217963440,0.97458712
AGT,TACR2,0.97458712,0.9815510217963440,0.97458712
AGT,FPR1,0.97458712,0.9815510217963440,0.97458712
AGT,C5AR1,0.97458712,0.9815510217963440,0.97458712
AGT,EDNRB,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR1,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR2,0.97458712,0.9815510217963440,0.97458712
AGT,FPR2,0.97458712,0.9815510217963440,0.97458712
AGT,EDNRA,0.97458712,0.9815510217963440,0.97458712
AGT,TACR1,0.97458712,0.9815510217963440,0.97458712
AGT,ACKR3,0.97458712,0.9815510217963440,0.97458712
AGT,F2R,0.97458712,0.9815510217963440,0.97458712
AGT,NPY1R,0.97458712,0.9815510217963440,0.97458712
AGT,HTR1D,0.97458712,0.9815510217963440,0.97458712
AGT,HTR1B,0.97458712,0.9815510217963440,0.97458712
AGT,HTR2A,0.97458712,0.9815510217963440,0.97458712
AGT,HTR2C,0.97458712,0.9815510217963440,0.97458712
AGT,NMBR,0.97458712,0.9815510217963440,0.97458712
AGT,TACR3,0.97458712,0.9815510217963440,0.97458712
AGT,BDKRB2,0.97458712,0.9815510217963440,0.97458712
AGT,GRPR,0.97458712,0.9815510217963440,0.97458712
AGT,OXTR,0.97458712,0.9815510217963440,0.97458712
AGT,SSTR1,0.97458712,0.9815510217963440,0.97458712
AGT,SSTR2,0.97458712,0.9815510217963440,0.97458712
AGT,HTR1F,0.97458712,0.9815510217963440,0.97458712
AGT,GNRHR,0.97458712,0.9815510217963440,0.97458712
AGT,NTSR1,0.97458712,0.9815510217963440,0.97458712
AGT,SSTR4,0.97458712,0.9815510217963440,0.97458712
AGT,CCKAR,0.97458712,0.9815510217963440,0.97458712
AGT,CCKBR,0.97458712,0.9815510217963440,0.97458712
AGT,CCR1,0.97458712,0.9815510217963440,0.97458712
AGT,CCR7,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR5,0.97458712,0.9815510217963440,0.97458712
AGT,SSTR3,0.97458712,0.9815510217963440,0.97458712
AGT,TRHR,0.97458712,0.9815510217963440,0.97458712
AGT,SSTR5,0.97458712,0.9815510217963440,0.97458712
AGT,HRH1,0.97458712,0.9815510217963440,0.97458712
AGT,OPRM1,0.97458712,0.9815510217963440,0.97458712
AGT,APLNR,0.97458712,0.9815510217963440,0.97458712
AGT,AVPR1A,0.97458712,0.9815510217963440,0.97458712
AGT,OPRD1,0.97458712,0.9815510217963440,0.97458712
AGT,OPRK1,0.97458712,0.9815510217963440,0.97458712
AGT,OPRL1,0.97458712,0.9815510217963440,0.97458712
AGT,HTR2B,0.97458712,0.9815510217963440,0.97458712
AGT,CCR2,0.97458712,0.9815510217963440,0.97458712
AGT,CCR10,0.97458712,0.9815510217963440,0.97458712
AGT,XCR1,0.97458712,0.9815510217963440,0.97458712
AGT,BDKRB1,0.97458712,0.9815510217963440,0.97458712
AGT,GALR1,0.97458712,0.9815510217963440,0.97458712
AGT,GCGR,0.97458712,0.9815510217963440,0.97458712
AGT,HTR5A,0.97458712,0.9815510217963440,0.97458712
AGT,AVPR1B,0.97458712,0.9815510217963440,0.97458712
AGT,MTNR1A,0.97458712,0.9815510217963440,0.97458712
AGT,NPBWR1,0.97458712,0.9815510217963440,0.97458712
AGT,NPY2R,0.97458712,0.9815510217963440,0.97458712
AGT,MTNR1B,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR3,0.97458712,0.9815510217963440,0.97458712
AGT,NPY4R,0.97458712,0.9815510217963440,0.97458712
AGT,CCR3,0.97458712,0.9815510217963440,0.97458712
AGT,CCR4,0.97458712,0.9815510217963440,0.97458712
AGT,CCR5,0.97458712,0.9815510217963440,0.97458712
AGT,CCR6,0.97458712,0.9815510217963440,0.97458712
AGT,CCR8,0.97458712,0.9815510217963440,0.97458712
AGT,CCR9,0.97458712,0.9815510217963440,0.97458712
AGT,F2RL1,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR4,0.97458712,0.9815510217963440,0.97458712
AGT,GRM4,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY14,0.97458712,0.9815510217963440,0.97458712
AGT,NPY5R,0.97458712,0.9815510217963440,0.97458712
AGT,C3AR1,0.97458712,0.9815510217963440,0.97458712
AGT,NPSR1,0.97458712,0.9815510217963440,0.97458712
AGT,PROKR2,0.97458712,0.9815510217963440,0.97458712
AGT,PROKR1,0.97458712,0.9815510217963440,0.97458712
AGT,RXFP4,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR1,0.97458712,0.9815510217963440,0.97458712
AGT,GHSR,0.97458712,0.9815510217963440,0.97458712
AGT,KISS1R,0.97458712,0.9815510217963440,0.97458712
AGT,QRFPR,0.97458712,0.9815510217963440,0.97458712
AGT,F2RL3,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR4,0.97458712,0.9815510217963440,0.97458712
AGT,MCHR1,0.97458712,0.9815510217963440,0.97458712
AGT,NMUR2,0.97458712,0.9815510217963440,0.97458712
AGT,NPFFR1,0.97458712,0.9815510217963440,0.97458712
AGT,HRH4,0.97458712,0.9815510217963440,0.97458712
AGT,NMUR1,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR2,0.97458712,0.9815510217963440,0.97458712
AGT,RXFP3,0.97458712,0.9815510217963440,0.97458712
AGT,UTS2R,0.97458712,0.9815510217963440,0.97458712
AGT,HRH3,0.97458712,0.9815510217963440,0.97458712
AGT,NPFFR2,0.97458712,0.9815510217963440,0.97458712
AGT,PTGDR2,0.97458712,0.9815510217963440,0.97458712
AGT,F2RL2,0.97458712,0.9815510217963440,0.97458712
AGT,CXCR6,0.97458712,0.9815510217963440,0.97458712
AGT,GALR2,0.97458712,0.9815510217963440,0.97458712
AGT,HCRTR1,0.97458712,0.9815510217963440,0.97458712
AGT,HCRTR2,0.97458712,0.9815510217963440,0.97458712
AGT,GALR3,0.97458712,0.9815510217963440,0.97458712
AGT,ATP6AP2,0.97458712,0.9815510217963440,0.97458712
AGT,NTSR2,0.97458712,0.9815510217963440,0.97458712
AGT,CHRM2,0.97458712,0.9815510217963440,0.97458712
AGT,CHRM4,0.97458712,0.9815510217963440,0.97458712
AGT,CHRM5,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA2A,0.97458712,0.9815510217963440,0.97458712
AGT,ADORA3,0.97458712,0.9815510217963440,0.97458712
AGT,CHRM1,0.97458712,0.9815510217963440,0.97458712
AGT,DRD2,0.97458712,0.9815510217963440,0.97458712
AGT,ANPEP,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA2B,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA2C,0.97458712,0.9815510217963440,0.97458712
AGT,CHRM3,0.97458712,0.9815510217963440,0.97458712
AGT,S1PR1,0.97458712,0.9815510217963440,0.97458712
AGT,CNR1,0.97458712,0.9815510217963440,0.97458712
AGT,TBXA2R,0.97458712,0.9815510217963440,0.97458712
AGT,DRD4,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA1D,0.97458712,0.9815510217963440,0.97458712
AGT,PTAFR,0.97458712,0.9815510217963440,0.97458712
AGT,ADORA1,0.97458712,0.9815510217963440,0.97458712
AGT,CNR2,0.97458712,0.9815510217963440,0.97458712
AGT,PTGER1,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA1A,0.97458712,0.9815510217963440,0.97458712
AGT,ADRA1B,0.97458712,0.9815510217963440,0.97458712
AGT,DRD3,0.97458712,0.9815510217963440,0.97458712
AGT,CASR,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY2,0.97458712,0.9815510217963440,0.97458712
AGT,GRM5,0.97458712,0.9815510217963440,0.97458712
AGT,PTGFR,0.97458712,0.9815510217963440,0.97458712
AGT,PTGER3,0.97458712,0.9815510217963440,0.97458712
AGT,LPAR6,0.97458712,0.9815510217963440,0.97458712
AGT,GPR4,0.97458712,0.9815510217963440,0.97458712
AGT,P2RY1,0.97458712,0.9815510217963440,0.97458712
