"sigid","ligand","perturbed_receptors","n_upregulated","n_downregulated","total_strength","n_significant_genes","n_signatures"
"sig_ACE_1_y","ACE","ACVR1B,ADGRG1,ALK,AMHR2,APCDD1,APLP2,ATP1A3,ATP6AP2,ATRN,BEX3,CANX,CCR3,CD200,CD320,CD47,CD69,CD74,CHL1,CKAP4,CRLF1,DCC,DCHS1,DDR1,DPP4,EPCAM,EPHA2,EPHA4,EPHB1,ERAP1,ERBB4,F2RL1,FGFR3,FLOT1,FZD5,FZD7,FZD8,GAS1,GLG1,GPR35,GPR75,HTR2A,ICAM1,IFNAR1,IFNLR1,IGFLR1,IL21R,INSR,ITGA2,ITGA2B,ITGA6,ITGA9,ITGAL,JMJD6,KCNJ15,KREMEN2,L1CAM,LAMP2,LRFN5,LRP2,LRRC4,LSR,MC1R,MCAM,MERTK,NCSTN,NECTIN2,NPFFR1,NRCAM,NRXN2,OPRD1,PDGFRA,PLXNA4,PRLR,PTCH2,PTH2R,PTPRF,PTPRK,RGMB,RNF43,S1PR2,SDC1,SDC2,SDC4,SLC16A1,SLC40A1,SPN,ST14,TACR3,TNFRSF12A,TNFRSF25,TNFRSF4,TNFRSF9,VASN,VCAM1,VLDLR",1198,1253,2553.65653927631,2451,1
"sig_AGT_1_y","AGT","",9,4,12.8378669543071,13,10
"sig_AGT_2_y","AGT","ALCAM,F11R,IL1RL1,INSR,MAG,PDE1C,RGMB,SCARB1,SDC3,SIRPA",87,51,176.680646142072,138,10
"sig_AGT_3_y","AGT","IL1RL1,NRCAM",15,8,22.0632925218586,23,10
"sig_AGT_4_y","AGT","KDR,PLXNB1,PLXNB3,TNFRSF25",153,94,166.05529702082,247,10
"sig_AGT_5_y","AGT","",1,1,2.32307551947683,2,10
"sig_AGT_6_y","AGT","CANX,HRH1,SORT1,UNC5B",115,37,129.704240122643,152,10
"sig_ALB_1_y","ALB","ADORA2B,ADRB2,AVPR2,CD274,CD55,CRLF3,CXCR4,EFNB1,F2R,FGFRL1,GPR135,ICAM1,IL6R,ITGA3,ITGA5,JMJD6,LDLR,LTBR,NECTIN4,NOTCH3,NPR3,NT5E,OSMR,PTH1R,PVR,SLC16A7,TGFBR3,TNFRSF10B,TNFRSF11B,TNFRSF14,VLDLR",239,510,443.503023668793,749,6
"sig_ALB_2_y","ALB","ACVR1B,ADAM22,ADGRL1,ADIPOR1,ADORA1,ADRB2,APP,ATP5F1B,BAMBI,BDKRB2,CAV1,CD151,CD1D,CD274,CD46,CD55,CD63,CD74,CD82,CHL1,CNTN1,EDAR,EFNB1,ENO1,EPCAM,EPHA4,EPHB1,EPHB2,EPHB6,ERBB2,ERBB3,F2RL1,FAS,FGFR1,FLOT1,FZD3,GCGR,GPC1,GPR37,GRM5,HAVCR2,ICAM1,ICOSLG,IFNAR1,IGF1R,IL13RA1,IL17RB,IL17RC,IL1R1,IL1RL1,IL27RA,ITGA2,ITGA3,ITGB4,ITGB5,KL,KLRF1,LAMP2,LEPR,LGR4,LPAR2,LRP8,LSR,MGRN1,NECTIN1,NECTIN2,NECTIN3,NPR1,NPR3,NRCAM,NT5E,OGFR,OLR1,OSMR,PDE1A,PLAUR,PLGRKT,PLSCR1,PLXDC2,PLXNB1,PLXNB2,PTH1R,RAMP2,RPSA,RXFP1,SCN5A,SCTR,SELPLG,SLC16A1,SLC16A7,SLC40A1,TFRC,TGFBR3,TLR6,TNFRSF10B,TNFRSF10D,TNFRSF12A,TNFRSF14,UNC5B,VLDLR,VTCN1",1100,1520,1287.49313814703,2620,6
"sig_ANGPTL3_1_y","ANGPTL3","ACKR2,ACVR1,ACVR2A,ADAM22,ADCY1,ADGRE5,ADGRG1,ADGRL1,ADIPOR2,ADORA1,AGR2,AGTR1,ALCAM,AMFR,APLP2,APP,ASGR1,ASGR2,ATP5F1B,ATP6AP2,ATRN,AXL,BAMBI,BCAM,BEX3,BMPR1A,BMPR2,CADM1,CANX,CD151,CD19,CD22,CD248,CD320,CD4,CD40,CD46,CD47,CD55,CD63,CD7,CD74,CD9,CDON,CEACAM1,CKAP4,CNTNAP1,CRLF1,CSF3R,CXADR,CXCR4,DCBLD2,DPP4,DSG2,EFNB1,ENG,ENO1,EPCAM,EPHA1,EPHA2,EPHB1,EPHB4,EPOR,ERAP1,ERBB2,ERBB3,F11R,F2R,F2RL1,FAS,FGFR1,FGFR2,FGFR3,FGFR4,FGFRL1,FZD1,FZD2,FZD3,FZD5,FZD7,FZD9,GALR2,GLG1,GPC4,GPR19,GPR35,GPR39,GRIN2D,HAVCR1,HLA-F,HMMR,HTR1D,ICAM1,IFNGR1,IFNGR2,IFNLR1,IGF2R,IL13RA1,IL17RA,IL17RC,IL17RE,IL1R1,IL1R2,IL1RAP,IL21R,IL22RA1,IL27RA,IL4R,IL6R,ITGA1,ITGA10,ITGA2,ITGA3,ITGA6,ITGAL,ITGAV,ITGB1,ITGB2,ITGB4,ITGB5,JAM3,JAML,KCNJ10,KISS1R,KLB,KREMEN1,L1CAM,LAMP1,LAMP2,LDLR,LGR4,LIFR,LRFN3,LRP11,LRP4,LRP5,LRP6,LRP8,LSR,LTBR,MCAM,MERTK,MET,MMP24,MYLK,NCSTN,NECTIN1,NECTIN3,NEO1,NGFR,NOTCH1,NOTCH2,NRP1,NRP2,NT5E,NTSR1,OGFR,OSMR,OXTR,PDGFRB,PILRB,PITPNM3,PLD2,PLXNA1,PLXNA3,PLXNB1,PLXNB2,PLXNB3,PLXNC1,PLXND1,PRLR,PROCR,PRTG,PTCH1,PTPRF,PTPRJ,PTPRK,PTPRM,PVR,RHBDL2,ROBO1,ROBO3,ROBO4,ROR1,RTN4R,RTN4RL2,RYK,SCARB1,SDC2,SDC3,SDC4,SIRPA,SLC16A1,SLC16A7,SLC40A1,SORL1,SORT1,SPN,SSTR5,ST14,TFR2,TFRC,TGFBR1,TGFBR2,TGFBR3,TIE1,TNFRSF10B,TNFRSF10D,TNFRSF12A,TNFRSF14,TNFRSF19,TNFRSF1A,TNFRSF21,TNFRSF25,TRAF2,TYRO3,UNC5B,VASN,VIPR1,VSIR,ZNRF3",3144,3397,3798.17546474747,6541,2
