relay_pattern,receptor_1,ligand_2,combined_score,tf,path
CCL21-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
MIF-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
MIF-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
CALR-IL7R to CCL21-CXCR4,IL7R,CCL21,0.043617904801,NFKB2,IL7R; CISH; BCL2L11; BTRC; NFKB2
CCL21-CXCR4 to CALR-IL7R,CXCR4,CALR,0.0316762695,TP53,CXCR4; CD4; PTK2; TP53
GSTP1-IL7R to CCL21-CXCR4,IL7R,CCL21,0.043617904801,NFKB2,IL7R; CISH; BCL2L11; BTRC; NFKB2
CCL21-CXCR4 to GSTP1-IL7R,CXCR4,GSTP1,0.292,RELA,CXCR4; RELA
CCL19-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to CCL19-CXCR4,CXCR4,CCL19,0.073,RELA,CXCR4; RELA
CALR-IL7R to MIF-CXCR4,IL7R,MIF,0.29683064,HIF1A,IL7R; CISH; ELOB; HIF1A
MIF-CXCR4 to CALR-IL7R,CXCR4,CALR,0.0316762695,TP53,CXCR4; CD4; PTK2; TP53
GSTP1-IL7R to MIF-CXCR4,IL7R,MIF,0.29683064,HIF1A,IL7R; CISH; ELOB; HIF1A
MIF-CXCR4 to GSTP1-IL7R,CXCR4,GSTP1,0.292,RELA,CXCR4; RELA
MIF-CXCR4 to CCL19-CXCR4,CXCR4,CCL19,0.073,RELA,CXCR4; RELA
CCL19-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
CALR-IL7R to CALR-IL7R,IL7R,CALR,0.043216,E2F1,IL7R; BRD2; E2F1
GSTP1-IL7R to CALR-IL7R,IL7R,CALR,0.043216,E2F1,IL7R; BRD2; E2F1
CALR-IL7R to GSTP1-IL7R,IL7R,GSTP1,0.135832282,NFKB1,IL7R; CISH; ELOB; NFKB1
CXCL13-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to CXCL13-CXCR4,CXCR4,CXCL13,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
GSTP1-IL7R to GSTP1-IL7R,IL7R,GSTP1,0.135832282,NFKB1,IL7R; CISH; ELOB; NFKB1
HSP90B1-TNFRSF1B to CCL21-CXCR4,TNFRSF1B,CCL21,0.133444,NFKB2,TNFRSF1B; CHUK; NFKB2
CCL21-CXCR4 to HSP90B1-TNFRSF1B,CXCR4,HSP90B1,0.08526399999999999,HIF1A,CXCR4; CDK8; HIF1A
MIF-CXCR4 to CXCL13-CXCR4,CXCR4,CXCL13,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CXCL13-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
CCL21-CXCR4 to CXCL14-CXCR4,CXCR4,CXCL14,0.0316762695,TP53,CXCR4; CD4; PTK2; TP53
CXCL14-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
THBS1-CD47 to CCL21-CXCR4,CD47,CCL21,0.0668199,STAT1,CD47; SIRPA; PTPN11; STAT1
CCL21-CXCR4 to THBS1-CD47,CXCR4,THBS1,0.042235025999999995,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CCR7 to CCL21-CXCR4,CCR7,CCL21,0.00713575,CTCF,CCR7; CD3E; NCL; CTCF
CALM1-TNFRSF1B to CCL21-CXCR4,TNFRSF1B,CCL21,0.133444,NFKB2,TNFRSF1B; CHUK; NFKB2
CCL21-CXCR4 to CCL21-CCR7,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to CALM1-TNFRSF1B,CXCR4,CALM1,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to RPS19-RPSA,CXCR4,RPS19,0.08526399999999999,MYC,CXCR4; CDK8; MYC
RPS19-RPSA to CCL21-CXCR4,RPSA,CCL21,0.107226,RELB,RPSA; EPRS1; RELB
CCL21-CXCR4 to PTPRC-CD2,CXCR4,PTPRC,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
PTPRC-CD2 to CCL21-CXCR4,CD2,CCL21,0.043111095,STAT1,CD2; SH3KBP1; EGFR; STAT1
CALR-IL7R to CCL19-CXCR4,IL7R,CCL19,0.07007999999999999,RELA,IL7R; BRD4; RELA
CCL19-CXCR4 to CALR-IL7R,CXCR4,CALR,0.0316762695,TP53,CXCR4; CD4; PTK2; TP53
A2M-TNFRSF14 to CCL21-CXCR4,TNFRSF14,CCL21,0.043906275,STAT1,TNFRSF14; BTLA; PTPN11; STAT1
CCL21-CXCR4 to A2M-TNFRSF14,CXCR4,A2M,0.24305636399999997,STAT3,CXCR4; CD4; LCK; STAT3
ITGB2-ICAM1 to CCL21-CXCR4,ICAM1,CCL21,0.281969,NFKB2,ICAM1; RELA; NFKB2
GRN-TNFRSF1B to CCL21-CXCR4,TNFRSF1B,CCL21,0.133444,NFKB2,TNFRSF1B; CHUK; NFKB2
CCL21-CXCR4 to ITGB2-ICAM1,CXCR4,ITGB2,0.063352539,STAT1,CXCR4; CD4; PTK2; STAT1
GSTP1-IL7R to CCL19-CXCR4,IL7R,CCL19,0.07007999999999999,RELA,IL7R; BRD4; RELA
CCL21-CXCR4 to GRN-TNFRSF1B,CXCR4,GRN,0.034228519500000006,FOS,CXCR4; TLR2; EGFR; FOS
CCL19-CXCR4 to GSTP1-IL7R,CXCR4,GSTP1,0.292,RELA,CXCR4; RELA
HSP90B1-TNFRSF1B to MIF-CXCR4,TNFRSF1B,MIF,0.0640506015,NFKB1,TNFRSF1B; TRAF2; CHUK; NFKB1
C3-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
MIF-CXCR4 to HSP90B1-TNFRSF1B,CXCR4,HSP90B1,0.08526399999999999,HIF1A,CXCR4; CDK8; HIF1A
CCL19-CXCR4 to CCL19-CXCR4,CXCR4,CCL19,0.073,RELA,CXCR4; RELA
MIF-CXCR4 to CXCL14-CXCR4,CXCR4,CXCL14,0.0316762695,TP53,CXCR4; CD4; PTK2; TP53
CCL21-CXCR4 to C3-CXCR4,CXCR4,C3,0.073,RELA,CXCR4; RELA
CXCL13-CXCR4 to CXCL13-CXCR4,CXCR4,CXCL13,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CXCL14-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
THBS1-CD47 to MIF-CXCR4,CD47,MIF,0.0668199,STAT1,CD47; SIRPA; PTPN11; STAT1
MIF-CXCR4 to THBS1-CD47,CXCR4,THBS1,0.042235025999999995,STAT1,CXCR4; CD4; PTK2; STAT1
RPS19-RPSA to MIF-CXCR4,RPSA,MIF,0.1380825,TP53,RPSA; RPS27A; TP53
MIF-CXCR4 to RPS19-RPSA,CXCR4,RPS19,0.08526399999999999,MYC,CXCR4; CDK8; MYC
CALM1-TNFRSF1B to MIF-CXCR4,TNFRSF1B,MIF,0.0640506015,NFKB1,TNFRSF1B; TRAF2; CHUK; NFKB1
MIF-CXCR4 to CALM1-TNFRSF1B,CXCR4,CALM1,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CXCL12-CXCR4 to CCL21-CXCR4,CXCR4,CCL21,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
CCL21-CXCR4 to CXCL12-CXCR4,CXCR4,CXCL12,0.073,RELA,CXCR4; RELA
MIF-CXCR4 to PTPRC-CD2,CXCR4,PTPRC,0.0316762695,STAT1,CXCR4; CD4; PTK2; STAT1
MIF-CXCR4 to A2M-TNFRSF14,CXCR4,A2M,0.24305636399999997,STAT3,CXCR4; CD4; LCK; STAT3
A2M-TNFRSF14 to MIF-CXCR4,TNFRSF14,MIF,0.043906275,STAT1,TNFRSF14; BTLA; PTPN11; STAT1
MIF-CXCR4 to GRN-TNFRSF1B,CXCR4,GRN,0.034228519500000006,FOS,CXCR4; TLR2; EGFR; FOS
C3-CXCR4 to MIF-CXCR4,CXCR4,MIF,0.073,RELA,CXCR4; RELA
MIF-CXCR4 to ITGB2-ICAM1,CXCR4,ITGB2,0.063352539,STAT1,CXCR4; CD4; PTK2; STAT1
MIF-CXCR4 to C3-CXCR4,CXCR4,C3,0.073,RELA,CXCR4; RELA
GRN-TNFRSF1B to MIF-CXCR4,TNFRSF1B,MIF,0.0640506015,NFKB1,TNFRSF1B; TRAF2; CHUK; NFKB1
