Relay Patterns,Pattern Abundance (#)
CCL21-CXCR4 to CCL21-CXCR4,33971
MIF-CXCR4 to CCL21-CXCR4,22323
CCL21-CXCR4 to MIF-CXCR4,22071
MIF-CXCR4 to MIF-CXCR4,16062
CALR-IL7R to CCL21-CXCR4,14619
CCL21-CXCR4 to CALR-IL7R,14087
GSTP1-IL7R to CCL21-CXCR4,12958
CCL21-CXCR4 to GSTP1-IL7R,12438
CCL19-CXCR4 to CCL21-CXCR4,10069
CCL21-CXCR4 to CCL19-CXCR4,10012
CALR-IL7R to MIF-CXCR4,9386
MIF-CXCR4 to CALR-IL7R,9180
GSTP1-IL7R to MIF-CXCR4,8082
MIF-CXCR4 to GSTP1-IL7R,7972
MIF-CXCR4 to CCL19-CXCR4,7157
CCL19-CXCR4 to MIF-CXCR4,7092
CALR-IL7R to CALR-IL7R,6596
GSTP1-IL7R to CALR-IL7R,6039
CALR-IL7R to GSTP1-IL7R,6016
CXCL13-CXCR4 to CCL21-CXCR4,5793
CCL21-CXCR4 to CXCL13-CXCR4,5727
GSTP1-IL7R to GSTP1-IL7R,5579
HSP90B1-TNFRSF1B to CCL21-CXCR4,5322
CCL21-CXCR4 to HSP90B1-TNFRSF1B,5109
MIF-CXCR4 to CXCL13-CXCR4,5082
CXCL13-CXCR4 to MIF-CXCR4,5020
CCL21-CXCR4 to CXCL14-CXCR4,5011
CXCL14-CXCR4 to CCL21-CXCR4,4856
THBS1-CD47 to CCL21-CXCR4,4852
CCL21-CXCR4 to THBS1-CD47,4792
CCL21-CCR7 to CCL21-CXCR4,4627
CALM1-TNFRSF1B to CCL21-CXCR4,4586
CCL21-CXCR4 to CCL21-CCR7,4464
CCL21-CXCR4 to CALM1-TNFRSF1B,4462
CCL21-CXCR4 to RPS19-RPSA,4336
RPS19-RPSA to CCL21-CXCR4,4318
CCL21-CXCR4 to PTPRC-CD2,4228
PTPRC-CD2 to CCL21-CXCR4,4214
CALR-IL7R to CCL19-CXCR4,4167
CCL19-CXCR4 to CALR-IL7R,4115
A2M-TNFRSF14 to CCL21-CXCR4,3972
CCL21-CXCR4 to A2M-TNFRSF14,3940
ITGB2-ICAM1 to CCL21-CXCR4,3755
GRN-TNFRSF1B to CCL21-CXCR4,3696
CCL21-CXCR4 to ITGB2-ICAM1,3676
GSTP1-IL7R to CCL19-CXCR4,3618
CCL21-CXCR4 to GRN-TNFRSF1B,3561
CCL19-CXCR4 to GSTP1-IL7R,3557
HSP90B1-TNFRSF1B to MIF-CXCR4,3532
C3-CXCR4 to CCL21-CXCR4,3529
MIF-CXCR4 to HSP90B1-TNFRSF1B,3504
CCL19-CXCR4 to CCL19-CXCR4,3448
MIF-CXCR4 to CXCL14-CXCR4,3436
CCL21-CXCR4 to C3-CXCR4,3418
CXCL13-CXCR4 to CXCL13-CXCR4,3417
CXCL14-CXCR4 to MIF-CXCR4,3314
THBS1-CD47 to MIF-CXCR4,3305
MIF-CXCR4 to THBS1-CD47,3217
RPS19-RPSA to MIF-CXCR4,3149
MIF-CXCR4 to RPS19-RPSA,3132
CALM1-TNFRSF1B to MIF-CXCR4,3018
MIF-CXCR4 to CALM1-TNFRSF1B,3006
CXCL12-CXCR4 to CCL21-CXCR4,2779
CCL21-CXCR4 to CXCL12-CXCR4,2736
MIF-CXCR4 to PTPRC-CD2,2725
MIF-CXCR4 to A2M-TNFRSF14,2644
A2M-TNFRSF14 to MIF-CXCR4,2571
MIF-CXCR4 to GRN-TNFRSF1B,2565
C3-CXCR4 to MIF-CXCR4,2528
MIF-CXCR4 to ITGB2-ICAM1,2498
MIF-CXCR4 to C3-CXCR4,2488
GRN-TNFRSF1B to MIF-CXCR4,2484
PTPRC-CD2 to MIF-CXCR4,2477
ITGB2-ICAM1 to MIF-CXCR4,2473
MIF-CXCR4 to CCL21-CCR7,2469
CCL21-CCR7 to CALR-IL7R,2461
CCL21-CCR7 to MIF-CXCR4,2443
CALR-IL7R to CCL21-CCR7,2384
ITGB2-ICAM2 to CCL21-CXCR4,2358
CCL21-CCR7 to GSTP1-IL7R,2350
GSTP1-IL7R to CCL21-CCR7,2346
ITGAL-ICAM1 to CCL21-CXCR4,2339
CCL21-CXCR4 to ITGB2-ICAM2,2334
CCL21-CXCR4 to ITGAL-ICAM1,2328
CALR-IL7R to HSP90B1-TNFRSF1B,2285
HSP90B1-TNFRSF1B to CALR-IL7R,2244
CCL21-CXCR4 to GSTP1-VCAM1,2210
CCL19-CXCR4 to CXCL13-CXCR4,2156
CXCL13-CXCR4 to CCL19-CXCR4,2141
GSTP1-VCAM1 to CCL21-CXCR4,2120
PTPRC-CD2 to CALR-IL7R,2095
CXCL13-CXCR4 to CALR-IL7R,2080
HSP90B1-TNFRSF1B to GSTP1-IL7R,2057
CALR-IL7R to THBS1-CD47,2035
CALR-IL7R to CXCL14-CXCR4,2029
CCL21-CXCR4 to ITGA4-CXCR4,2023
CALR-IL7R to PTPRC-CD2,2023
THBS1-CD47 to CALR-IL7R,2003
GSTP1-IL7R to HSP90B1-TNFRSF1B,1996
CALM1-TNFRSF1B to CALR-IL7R,1990
