Ligand-Receptor Pairs,Total Count
CCL21-CXCR4,746
THBS1-CD47,150
GSTP1-IL7R,78
A2M-TNFRSF14,64
CLSTN1-CD47,39
GSTP1-VCAM1,34
CALR-IL7R,30
ARF1-VCAM1,29
HMGB2-ITPR3,20
CLSTN1-M6PR,16
CLSTN1-TFRC,10
CXCL14-CXCR4,8
LGALS3-TGFBR2,7
GSTP1-MYLK,7
GMFB-ANXA6,7
HMGB2-DAB2,7
CD320-TGFBR2,7
HSP90B1-TNFRSF1B,7
THBS1-SDC1,6
GSTP1-FAS,6
AIMP1-RRBP1,6
LGALS3-TFRC,5
SERPINE1-LRP1,5
ARF1-FAS,5
GPI-AMFR,5
MMP9-ITGA5,5
COPA-VCAM1,5
TIMP1-LRP1,5
CALM1-TNFRSF1B,5
TNC-ITGA5,4
SERPINE1-PLAUR,4
THBS1-CD36,4
ARF1-MYLK,4
HMGB1-AGTRAP,4
THBS1-LRP1,4
CALR-ITGA5,4
ITGA4-VCAM1,4
CCL21-CCR7,4
LRPAP1-SORL1,4
MANF-SEC63,4
GSTP1-ATRN,3
GSTP1-HMMR,3
CALR-NCSTN,3
CALR-FAS,3
HMGB2-FAS,3
CLSTN1-PRNP,3
YARS-VCAM1,3
HMGB2-ITPR1,3
HSP90B1-AMFR,3
LGALS3-SLC1A5,2
LGALS3-NPTN,2
LGALS3-FCGR2B,2
TNC-SDC3,2
ARF1-HMMR,2
TNC-SDC1,2
HMGB1-LY96,2
COPA-NCSTN,2
HMGB1-AGER,2
TNC-ITGA9,2
PTPRF-TGFBR2,2
ITGB1-DAB2,2
LTB-TNFRSF1A,2
MMP9-LRP1,2
NENF-SEC63,2
ALOX5AP-ALOX5,2
COPA-PDGFRB,2
CALM1-TNFRSF1A,2
ITGA4-TFRC,2
ITGB1-VCAM1,2
LGALS3-PTPRK,1
LGALS3-ITGB4,1
LGALS3-FCGR2A,1
LGALS3-SCARA3,1
LGALS3-COLEC12,1
LGALS3-LPAR1,1
TNC-ITGA7,1
VWF-ITGB5,1
FBN1-EBP,1
PSEN1-NCSTN,1
RTN4-FZD6,1
LAMB1-ITGB4,1
CADM1-ITGB4,1
APOE-SDC4,1
HMGB1-FAS,1
CD99-FZD6,1
CALM1-HMMR,1
APOE-LRP1,1
APOE-VCAM1,1
CMTM6-LPAR1,1
ITGAM-ICAM1,1
TF-IL7R,1
ARF1-INSR,1
GMFB-ITPR3,1
TF-IGF2R,1
PIK3CB-PTK2B,1
PTPRF-PTPRA,1
CMTM6-SCARA3,1
HMGB1-TLR4,1
CLSTN1-LRP1,1
COL1A1-CD36,1
FGF13-PRNP,1
NPB-CXCR5,1
RTN4-NGFR,1
SERPINA1-LRP1,1
FBN1-CLSTN1,1
CALM1-PTH1R,1
APOE-SCARB1,1
COL18A1-ITGA5,1
PLXNB2-PTPRK,1
CALM1-FAS,1
UTS2-LPAR2,1
PNOC-CCR7,1
ADAM15-ITGA5,1
GSTP1-TRAF2,1
ITGB1-FLT4,1
ITGB1-FZD6,1
ITGB1-CD36,1
LRPAP1-LRP1,1
PIK3CB-IL2RG,1
A2M-LRP1,1
COL1A1-ITGA5,1
HLA-E-ITGA6,1
PNOC-CXCR5,1
ITGAL-ICAM1,1
ITGB2-ICAM1,1
DSC2-SEC63,1
HEBP1-CCR7,1
PNOC-S1PR2,1
ITGB1-NCSTN,1
TNC-PTPRB,1
HEBP1-APLNR,1
ITGB1-CD47,1
ITGB1-ENG,1
APOE-SORL1,1
