Relay Patterns,Pattern Abundance (#)
CCL21-CXCR4 to CCL21-CXCR4,33229
MIF-CXCR4 to CCL21-CXCR4,21467
CCL21-CXCR4 to MIF-CXCR4,21180
MIF-CXCR4 to MIF-CXCR4,15264
CALR-IL7R to CCL21-CXCR4,13784
CCL21-CXCR4 to CALR-IL7R,13273
GSTP1-IL7R to CCL21-CXCR4,12394
CCL21-CXCR4 to GSTP1-IL7R,11876
CCL19-CXCR4 to CCL21-CXCR4,10441
CCL21-CXCR4 to CCL19-CXCR4,10363
CALR-IL7R to MIF-CXCR4,8675
MIF-CXCR4 to CALR-IL7R,8528
GSTP1-IL7R to MIF-CXCR4,7641
MIF-CXCR4 to GSTP1-IL7R,7505
MIF-CXCR4 to CCL19-CXCR4,7350
CCL19-CXCR4 to MIF-CXCR4,7298
CALR-IL7R to CALR-IL7R,5949
HSP90B1-TNFRSF1B to CCL21-CXCR4,5775
CCL21-CXCR4 to HSP90B1-TNFRSF1B,5569
CXCL13-CXCR4 to CCL21-CXCR4,5542
GSTP1-IL7R to CALR-IL7R,5507
CALR-IL7R to GSTP1-IL7R,5507
CCL21-CXCR4 to CXCL13-CXCR4,5450
RPS19-RPSA to CCL21-CXCR4,5398
CCL21-CXCR4 to RPS19-RPSA,5372
GSTP1-IL7R to GSTP1-IL7R,5127
MIF-CXCR4 to CXCL13-CXCR4,4869
CXCL13-CXCR4 to MIF-CXCR4,4772
THBS1-CD47 to CCL21-CXCR4,4759
CCL21-CXCR4 to THBS1-CD47,4724
CALM1-TNFRSF1B to CCL21-CXCR4,4599
CCL21-CXCR4 to PTPRC-CD2,4552
PTPRC-CD2 to CCL21-CXCR4,4549
CCL21-CXCR4 to CALM1-TNFRSF1B,4461
CALR-IL7R to CCL19-CXCR4,4226
CCL21-CCR7 to CCL21-CXCR4,4208
CCL19-CXCR4 to CALR-IL7R,4155
CCL21-CXCR4 to CCL21-CCR7,4063
A2M-TNFRSF14 to CCL21-CXCR4,3902
CCL19-CXCR4 to CCL19-CXCR4,3875
CCL21-CXCR4 to A2M-TNFRSF14,3849
ITGB2-ICAM1 to CCL21-CXCR4,3826
MIF-CXCR4 to HSP90B1-TNFRSF1B,3784
HSP90B1-TNFRSF1B to MIF-CXCR4,3749
CCL21-CXCR4 to ITGB2-ICAM1,3728
GSTP1-IL7R to CCL19-CXCR4,3720
RPS19-RPSA to MIF-CXCR4,3689
CCL21-CXCR4 to CXCL14-CXCR4,3678
MIF-CXCR4 to RPS19-RPSA,3646
CCL19-CXCR4 to GSTP1-IL7R,3645
GRN-TNFRSF1B to CCL21-CXCR4,3609
CXCL14-CXCR4 to CCL21-CXCR4,3546
CCL21-CXCR4 to GRN-TNFRSF1B,3471
CXCL13-CXCR4 to CXCL13-CXCR4,3312
THBS1-CD47 to MIF-CXCR4,3210
MIF-CXCR4 to THBS1-CD47,3128
C3-CXCR4 to CCL21-CXCR4,3076
MIF-CXCR4 to CALM1-TNFRSF1B,2978
CALM1-TNFRSF1B to MIF-CXCR4,2971
CCL21-CXCR4 to C3-CXCR4,2944
CXCL12-CXCR4 to CCL21-CXCR4,2903
CCL21-CXCR4 to CXCL12-CXCR4,2860
MIF-CXCR4 to PTPRC-CD2,2839
PTPRC-CD2 to MIF-CXCR4,2558
MIF-CXCR4 to A2M-TNFRSF14,2534
MIF-CXCR4 to ITGB2-ICAM1,2511
A2M-TNFRSF14 to MIF-CXCR4,2492
MIF-CXCR4 to GRN-TNFRSF1B,2471
MIF-CXCR4 to CXCL14-CXCR4,2467
ITGB2-ICAM1 to MIF-CXCR4,2453
GRN-TNFRSF1B to MIF-CXCR4,2398
CXCL14-CXCR4 to MIF-CXCR4,2394
ITGB2-ICAM2 to CCL21-CXCR4,2371
CALR-IL7R to HSP90B1-TNFRSF1B,2367
ITGAL-ICAM1 to CCL21-CXCR4,2360
CCL21-CXCR4 to ITGB2-ICAM2,2360
CCL21-CXCR4 to ITGAL-ICAM1,2331
HSP90B1-TNFRSF1B to CALR-IL7R,2317
CCL21-CXCR4 to ITGA4-CXCR4,2269
CXCL13-CXCR4 to CCL19-CXCR4,2244
RPS19-RPSA to CALR-IL7R,2225
MIF-CXCR4 to CCL21-CCR7,2217
CCL19-CXCR4 to CXCL13-CXCR4,2204
HSP90B1-TNFRSF1B to GSTP1-IL7R,2198
PTPRC-CD2 to CALR-IL7R,2198
ITGA4-CXCR4 to CCL21-CXCR4,2198
CALR-IL7R to RPS19-RPSA,2182
C3-CXCR4 to MIF-CXCR4,2154
CCL21-CCR7 to CALR-IL7R,2134
CCL21-CCR7 to MIF-CXCR4,2130
CCL21-CXCR4 to GSTP1-VCAM1,2126
MIF-CXCR4 to C3-CXCR4,2122
GSTP1-IL7R to HSP90B1-TNFRSF1B,2113
CALR-IL7R to PTPRC-CD2,2107
CCL19-CCR7 to CCL21-CXCR4,2091
CALR-IL7R to CCL21-CCR7,2039
CCL21-CXCR4 to CCL19-CCR7,2025
GSTP1-VCAM1 to CCL21-CXCR4,2014
GSTP1-IL7R to CCL21-CCR7,2013
CCL21-CXCR4 to PTPRC-CXCR4,2004
