Ligand-Receptor Pairs,Total Count
CCL21-CXCR4,744
THBS1-CD47,99
CLSTN1-CD47,61
GSTP1-IL7R,46
HSP90B1-TNFRSF1B,32
HMGB2-ITPR3,31
CALR-IL7R,31
A2M-TNFRSF14,28
CLSTN1-M6PR,24
CLSTN1-TFRC,18
GSTP1-VCAM1,16
ARF1-VCAM1,16
HMGB2-DAB2,12
CALM1-TNFRSF1B,11
CD320-TGFBR2,10
LRPAP1-SORL1,10
ITGA4-VCAM1,9
GMFB-ANXA6,8
COPA-VCAM1,7
CALM1-TNFRSF1A,7
HSP90B1-AMFR,7
MANF-SEC63,7
ITGB2-ICAM1,7
AIMP1-RRBP1,6
CLSTN1-PRNP,6
GSTP1-MYLK,6
MMP9-ITGA5,6
ITGAL-ICAM1,6
HMGB2-FAS,5
LGALS3-TFRC,5
GPI-AMFR,5
LTB-TNFRSF1A,5
TIMP1-LRP1,5
CCL21-CCR7,5
ARF1-FAS,5
HMGB1-AGTRAP,4
THBS1-CD36,4
LGALS3-TGFBR2,4
HMGB2-ITPR1,4
CALR-ITGA5,4
COL18A1-ITGA5,4
GSTP1-FAS,4
CXCL14-CXCR4,4
GSTP1-HMMR,3
YARS-VCAM1,3
COPA-PDGFRB,3
FBN1-CLSTN1,3
ITGB1-CD47,3
ITGA4-TFRC,3
THBS1-LRP1,3
CALR-NCSTN,3
HSP90B1-LDLR,3
ITGB2-ICAM2,3
COPA-NCSTN,2
GSTP1-ATRN,2
ITGB1-DAB2,2
LGALS3-NPTN,2
PTPRF-TGFBR2,2
CALM1-PTH1R,2
HMGB1-LY96,2
THBS1-SDC1,2
HMGB1-AGER,2
NENF-SEC63,2
ARF1-MYLK,2
CALM1-FAS,2
LRPAP1-LRP1,2
TNC-SDC3,2
ITGB1-VCAM1,2
ITGB1-NCSTN,2
ITGB1-ENG,2
CALR-FAS,2
MMP9-LRP1,2
THBS2-CD47,2
ADAM17-TNFRSF1B,2
ICAM1-CSF2RB,2
ALOX5AP-ALOX5,2
ITGB1-CSF2RB,2
FBN1-EBP,1
PSEN1-NCSTN,1
LAMB1-ITGB4,1
RTN4-FZD6,1
LGALS3-SLC1A5,1
CALM1-HMMR,1
VWF-ITGB5,1
LGALS3-FCGR2A,1
LGALS3-PTPRK,1
LGALS3-ITGB4,1
ITGAM-ICAM1,1
LGALS3-SCARA3,1
LGALS3-COLEC12,1
COL1A1-CD36,1
CMTM6-LPAR1,1
TF-IL7R,1
LGALS3-LPAR1,1
TF-IGF2R,1
GMFB-ITPR3,1
CADM1-ITGB4,1
PTPRF-PTPRA,1
CLSTN1-LRP1,1
FGF13-PRNP,1
RTN4-NGFR,1
CMTM6-SCARA3,1
ITGB1-FZD6,1
ITGB1-FLT4,1
ITGB1-CD36,1
NPB-CXCR5,1
PNOC-CCR7,1
PIK3CB-PTK2B,1
PNOC-CXCR5,1
ARF1-HMMR,1
PNOC-S1PR2,1
UTS2-LPAR2,1
APOE-SDC4,1
HLA-E-ITGA6,1
EFNB1-FLT4,1
TNC-ITGA5,1
ADAM15-ITGA5,1
CALM3-MYLK,1
HEBP1-APLNR,1
HEBP1-CCR7,1
CALM1-MYLK,1
COL1A1-ITGA5,1
BAG6-NCR3,1
HMGB1-FAS,1
PECAM1-SDC4,1
APOE-LRP1,1
COL1A1-ITGA9,1
CDH5-TGFBR2,1
SERPINE1-LRP1,1
PIK3CB-IL2RG,1
CD99-FZD6,1
PLXNB2-PTPRK,1
APOE-VCAM1,1
VCAM1-ITGAD,1
VCAM1-IGF2R,1
SERPINE1-PLAUR,1
ITGB1-IGF2R,1
PECAM1-ITGA5,1
PTPRC-PDGFRB,1
ADAM17-TNFRSF1A,1
SPN-SIGLEC1,1
COL1A1-SDC1,1
LGALS3-FCGR2B,1
DSC2-SEC63,1
CLSTN1-IGF2R,1
HMGB1-TLR4,1
ICAM1-IL2RG,1
CCL21-S1PR3,1
VCAM1-ITGA5,1
ITGB1-ITGA5,1
SERPINA1-LRP1,1
PTDSS1-SCARB1,1
TNC-ITGA7,1
ARF1-INSR,1
HSP90B1-LRP1,1
PECAM1-SDC1,1
LAMB1-SDC1,1
APOE-SCARB1,1
ITGB1-ITGA6,1
CALR-MYLK,1
PNOC-S1PR4,1
